,Year,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP
Country Name,,Afghanistan,Africa Eastern and Southern,Africa Western and Central,Albania,Algeria,American Samoa,Andorra,Angola,Antigua and Barbuda,Arab World,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,"Bahamas, The",Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cabo Verde,Cambodia,Cameroon,Canada,Caribbean small states,Cayman Islands,Central African Republic,Central Europe and the Baltics,Chad,Channel Islands,Chile,China,Colombia,Comoros,"Congo, Dem. Rep.","Congo, Rep.",Costa Rica,Cote d'Ivoire,Croatia,Cuba,Curacao,Cyprus,Czech Republic,Denmark,Djibouti,Dominica,Dominican Republic,Early-demographic dividend,East Asia & Pacific,East Asia & Pacific (IDA & IBRD countries),East Asia & Pacific (excluding high income),Ecuador,"Egypt, Arab Rep.",El Salvador,Equatorial Guinea,Eritrea,Estonia,Eswatini,Ethiopia,Euro area,Europe & Central Asia,Europe & Central Asia (IDA & IBRD countries),Europe & Central Asia (excluding high income),European Union,Faroe Islands,Fiji,Finland,Fragile and conflict affected situations,France,French Polynesia,Gabon,"Gambia, The",Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guam,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Heavily indebted poor countries (HIPC),High income,Honduras,"Hong Kong SAR, China",Hungary,IBRD only,IDA & IBRD total,IDA blend,IDA only,IDA total,Iceland,India,Indonesia,"Iran, Islamic Rep.",Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,"Korea, Dem. People's Rep.","Korea, Rep.",Kosovo,Kuwait,Kyrgyz Republic,Lao PDR,Late-demographic dividend,Latin America & Caribbean,Latin America & Caribbean (excluding high income),Latin America & the Caribbean (IDA & IBRD countries),Latvia,Least developed countries: UN classification,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Low & middle income,Low income,Lower middle income,Luxembourg,"Macao SAR, China",Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Mauritania,Mauritius,Mexico,"Micronesia, Fed. Sts.",Middle East & North Africa,Middle East & North Africa (IDA & IBRD countries),Middle East & North Africa (excluding high income),Middle income,Moldova,Monaco,Mongolia,Montenegro,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,North America,North Macedonia,Northern Mariana Islands,Norway,Not classified,OECD members,Oman,Other small states,Pacific island small states,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Post-demographic dividend,Pre-demographic dividend,Puerto Rico,Qatar,Romania,Russian Federation,Rwanda,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Sint Maarten (Dutch part),Slovak Republic,Slovenia,Small states,Solomon Islands,Somalia,South Africa,South Asia,South Asia (IDA & IBRD),South Sudan,Spain,Sri Lanka,St. Kitts and Nevis,St. Lucia,St. Martin (French part),St. Vincent and the Grenadines,Sub-Saharan Africa,Sub-Saharan Africa (IDA & IBRD countries),Sub-Saharan Africa (excluding high income),Sudan,Suriname,Sweden,Switzerland,Syrian Arab Republic,Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkiye,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Upper middle income,Uruguay,Uzbekistan,Vanuatu,"Venezuela, RB",Vietnam,Virgin Islands (U.S.),West Bank and Gaza,World,"Yemen, Rep.",Zambia,Zimbabwe
0,1960,59.7732337032148,162.726325455099,107.930721670791,,246.303751319472,,,,,,,,,1810.61923013403,935.460426850415,,1550.26769865087,,89.0352394288932,,,1273.69165910289,304.90385978004,93.0227002677683,1902.40211884937,,102.237722413607,,60.4939579983833,235.946883329958,,,,68.4247344006247,70.0519098975133,,111.342440812007,118.643145152375,2259.29428549881,448.256417447292,,74.6873469698836,,104.471718929774,,505.349325487754,89.5205415103584,251.041522886697,,220.313989852155,129.370336447485,381.363681787435,155.899632793964,,,,,,,,,204.114871432466,161.165351496177,148.423623135968,91.941142907523,90.9020924082917,455.462388767674,,,,,,104.214055811225,,923.187341208548,,,,,,285.474286146904,1179.35301099994,,1334.68951190446,,282.417179474671,,,,183.428007493621,,520.322744310383,,,,252.756171165062,,,297.676422547695,70.661084558795,107.339917712085,1372.00746616065,164.64439949064,429.442874392053,,170.450503921548,158.125407493915,100.203175495542,98.8527568588741,97.209555843576,1414.98226940621,82.1886027403956,,191.680824981,231.025870778358,685.61471237976,,1229.1747476372,804.492623346178,429.254146077319,475.319075592173,,,97.4455010205655,,,158.249303269821,,,,,174.920810623452,384.416611610686,348.669268639474,379.000405390945,,,,41.3003645371492,,,,,151.695441828928,,92.0992194895624,2242.0158166161,,131.993165443863,44.5239429901755,234.938897437435,,,,,,,345.230540798612,,,,,155.609665744998,,,,,164.800827026367,,,,,50.3049377208139,1068.78458723735,,2312.94999239859,126.248168025092,132.651770983415,92.9604656019465,2939.44833510731,,,1441.75566002633,,1335.42421733101,,,,83.337945930404,,474.090670385391,102.176658717533,,253.26492133666,286.104330096758,,360.499298506858,1387.39396726686,111.590036301671,717.514843087362,,,,40.5372112788806,,,,,312.992962847554,,288.057842014677,138.938639928686,428.058980027396,,,,,,65.4797161127203,511.618737409868,82.3453989071595,82.3453989071595,,396.392253337614,142.779621883716,241.539163108067,,,161.375296760346,137.161909400584,137.161909400584,137.138333939534,125.859840393066,346.163198666065,2114.00297269192,1787.36034770201,187.53728826627,,,100.76747498819,,76.6386966178104,,631.706584701324,,509.005545369734,,,,62.5096253670313,,,1397.5948032844,3007.12344537862,216.951074752025,489.350724954753,,,955.446418074701,,,,459.096735411055,,232.188564468962,278.81384676855
1,1961,59.8608999923829,162.555967587872,113.080061889149,,214.771980100889,,,,,,,,,1877.6166377325,1031.8150043291,,1651.31767315288,,97.5952917047176,,,1350.19767333123,316.413629488762,95.5722322308738,1961.5381691712,,109.061303979425,,64.1761395717201,232.480546230829,,,,71.558180092437,71.1671882088235,,109.460350249774,123.514808121384,2240.43303945853,476.90148388864,,80.6880637274186,,109.129250541736,,555.134402585522,75.8058379259965,274.052264169385,,197.391359160417,145.405978762373,355.002748805393,170.243050474462,,,,,,,,,192.027612511237,158.406567415499,148.655534286835,80.9995251914589,80.0617561630868,375.22130462257,,,,,,125.311491894503,,1005.02227285536,,,,,,287.267055901963,1327.427224366,,1428.04600063164,,331.435801780181,,,,190.19650426703,,590.780054812393,,,,253.227290034998,,,315.385459502551,68.7643393279884,107.567307512877,1434.11561616704,169.909755119116,436.754411520393,,161.381511147097,151.42625576468,104.72994960816,101.138802596383,100.220538083488,1418.12586971526,85.3543009890781,,196.925090553012,245.032086668286,739.276406442666,,1436.38443935927,887.336744604475,453.057834372083,568.907742697122,,,94.6512926815322,,,93.8286490466039,,,,,161.725950518928,396.456377757309,355.117662083524,390.205815964213,,,,41.8567485851429,,,,,144.055238116385,,95.3495982376408,2222.36636636277,,133.847760917157,46.5815851690079,225.933593537059,,,,,181.836096059155,,363.393270895902,,,,,147.503903013816,,,,,158.923583984375,,26.3083569147116,,,51.8112487287027,1159.39235716074,,2343.29221317425,131.450652555931,139.340323395365,96.9790299795105,2991.59289655406,,,1560.3249311723,,1384.98117026517,,,,89.40903402537,,513.251679347454,106.585325466087,,277.568763438381,300.842041562067,,382.729946994368,1449.26170416869,112.79679261019,777.215027407341,,,,40.6892681068887,,,,,321.361239592927,,270.279362820574,139.363569743324,449.151071278746,,,,,,68.1063969710067,526.461750134876,86.0460827573224,86.0460827573224,,450.053289246968,142.838142371621,243.832121775577,,,170.381210864394,139.415203467847,139.415203467847,139.395762629132,133.082244873047,363.95832558894,2288.92170111915,1971.31632279228,200.183479817742,,,107.498000971957,,79.1202816529452,,676.401178353489,,283.828284266983,,,,63.2209673403389,,,1472.38571407868,3066.56286916615,195.205255318658,601.703002716251,,,970.356398396839,,,,471.544201199668,,220.04206713134,280.828662870886
2,1962,58.4580086983139,172.271022217071,118.829460649335,,172.242508957181,,,,,,1155.89071668715,,,1854.65683385421,1087.8342434189,,1752.84000562204,,100.122129600152,,,1438.5232330684,327.099996524794,94.4644972423036,2020.38596495589,,116.924968208513,,68.0503489586687,251.348317405138,,,,76.520549314543,73.4353308201368,,109.481170163168,128.594637171558,2268.58534607907,494.736371870243,,80.2127116671332,,114.581806595169,,638.945359978238,70.9094116671007,289.917945751026,,235.63352441259,155.738527194446,334.309248673039,171.128639637282,,,,,,,,,234.051629386729,159.405808543821,149.662986444837,72.997083763026,72.1478816789042,315.688704019778,,,34.7905813582671,,,131.162089528268,,1106.28613941102,,,,,,291.473333502059,1411.70239818044,,1578.28453778015,,357.523761693196,,,,195.469398633488,,617.057757690519,,,,261.179133806117,,,321.545236786277,70.1380458806057,114.311615030459,1528.48601419772,179.876306335728,487.821134050813,,162.570761731636,153.512451688527,109.320377924895,106.812745454564,105.407725042644,1562.23073045837,89.8817564934251,,203.437369612771,254.701533222261,797.006288353959,,1094.63584823375,990.26015216342,463.890513421464,639.640785435342,,,100.394495111031,,,106.148505720006,,,,,162.578170297184,422.653939690034,375.557190276039,415.5329984325,,,,48.1620315633801,,,,,145.133716172363,,94.6892029402463,2311.79884893619,,138.120003964326,47.6983839148743,230.260593749195,,,,,182.181892707817,,378.153495389687,,,,,147.984713119889,,,,,181.182647705078,,26.985919994067,,,55.0256889119249,1240.67789437294,,2448.62863326468,140.557345647812,148.189159916588,104.38702854306,3155.09753778965,,,1667.2474297782,,1474.28350718383,,,,91.319184879153,,542.328185774508,111.600465303381,,305.761616917341,176.460034845634,,407.852843612372,1545.75573555468,120.383382305171,854.74480496849,,,,40.9441819467614,,,,,320.501538916872,,287.044788426874,143.4726482737,472.085824452565,,,,,,70.8130489706682,546.26193534789,89.9113280359445,89.9113280359445,,520.206131380005,138.536653980207,246.101178423671,,,174.496077071349,147.329089012329,147.329089012329,147.308154615396,140.725128173828,382.20563749202,2468.69458903006,2131.39165159983,227.788340422721,,,113.782849798549,,81.9944440812139,,704.223158183224,,309.446624309012,,,,62.2263145933461,,,1525.77585271032,3243.84307754988,197.411311492964,656.713226833868,,,1023.35523677477,,,,496.165532982166,,212.578449093004,276.688232770327
3,1963,78.7064287776753,199.784915835755,123.441089464144,,226.895450128271,,,,,,850.304578620878,,,1967.11653731032,1167.00053244585,,1867.0103505514,,101.901412511993,,,1535.02372901043,336.938102250285,99.8589175338946,2020.2652474469,,123.429341345478,,71.1064390847651,295.631970805808,,,,78.3721958330329,78.5146207549818,,117.823450202335,130.175274222774,2374.49844764883,516.739524018403,,81.9179092292569,,116.776543939922,,655.252248742542,74.3136434486145,274.314957549389,,377.429878539264,157.055866084799,344.354656780256,194.212529845992,,,,,,,,,258.595781875754,165.129625529236,163.025364181927,77.0930397930988,76.2053530615176,368.629583703717,,,40.7514713195802,,,151.501704361161,,1229.91039582711,,,,,,296.708316522231,1522.3192420995,,1744.64012289392,,298.470446187048,,,,211.039736653596,,695.228624389878,,,,280.096636444858,,,282.304071272384,71.9621841715769,134.61921755446,1626.10816884992,185.048847121322,565.727810358046,,170.464445699044,161.977440797924,112.882101915073,120.799688529896,115.573314561268,1831.70565581972,101.126429449199,,208.132466967936,250.787205396323,852.135301717888,,1257.81140535239,1126.01933699825,485.243808148736,724.693762224539,,,103.778721037772,,,146.314341932979,,,,,173.901750016765,419.323543966732,368.038952503221,411.190329584337,,,,53.0878339288329,,,,,153.318853873101,,103.008770254554,2441.03855530008,,138.407165711476,48.505428353626,279.717540522244,,,,,181.090476440899,,409.045570064212,,,,,154.999326855624,,,,,196.531280517578,,28.4494304955199,,,46.8614532574513,1328.03664879968,,2622.2202714036,150.503658923287,158.71606449228,107.540572585071,3283.14145301388,,,1775.58265544979,,1567.43563709323,,,,95.7033778155834,,583.411561773293,115.664137612556,,325.516339164406,189.746866022966,,432.511729575075,1645.31647014828,137.050719665367,931.751665981242,,,,41.2182969308148,,,,,322.300733290872,,308.19526439697,143.620306755701,511.205575252773,,,,,,73.6072042568089,589.160460548672,98.9785796342667,98.9785796342667,,609.487384056513,117.071988276079,253.977446412557,,,162.805452472377,164.442690082503,164.442690082503,164.421809992709,139.309844970703,403.757072560868,2657.02250478203,2294.18284731738,238.437633438458,,,118.143906991999,,87.7922979453762,,760.39788534596,,350.662985186919,,,,69.1735430061368,,,1613.45688373392,3374.51517105082,202.263687962644,584.29163352089,,,1077.40305066342,,,,523.989740890207,,213.896758909272,277.479715109342
4,1964,82.0953065340517,180.22877411624,131.852422747254,,238.0437103942,,,,,,1173.23810525517,,,2131.37794817925,1269.41258289256,,1994.44049711429,,100.221104183654,,,1701.84627554319,351.161126269562,104.339929434072,2199.72700682735,,136.312361950325,,75.9559184671664,258.605370728102,,,,80.4727181207385,86.1615495133979,,123.64592535563,137.629764066857,2555.11114601309,547.950527291095,,88.2901157774413,,120.820654687429,,678.12810640018,85.4985551596313,328.655032086694,,170.467004976226,165.009165867213,352.336884923327,226.227041791045,,,,,,,,,272.974800132974,184.658197728126,182.711552594381,86.8323292122801,85.8397714197379,440.560234209217,,,46.9760523990492,,,177.9669161218,,1355.64582322702,,,,,,310.812276585613,1707.50393824701,,1909.54162026244,,410.904083460515,,,,230.061710256641,,783.705880998279,,,,279.930464500156,,,305.366398658785,77.8625972471001,117.340784024942,1753.35258747845,200.434728452609,629.591525784494,,188.627235877885,175.609454726476,120.137816417246,108.334968816424,110.04147216272,2297.9206432038,115.537496075013,,221.321282675966,288.163481655289,965.135422676745,,1375.89225589226,1222.5445404629,518.813871630542,843.616878543607,,,108.293688398499,,,123.603494825331,,,,,186.746412466059,452.492302306008,410.662871697172,443.654715072809,,,,57.4700513752874,,,,,167.819828709565,,113.009332814409,2755.63311653279,,142.659339875659,48.2932853477252,289.009227807173,,,,,234.633358127462,,469.476136876329,,,,,172.429419168944,,,,,201.261978149414,,20.0354873723771,,,46.0034038808981,1541.94736519029,,2813.54697563939,170.434840978642,153.259717005291,113.168716605965,3480.42694456687,,,1937.88461385928,,1690.1144861307,,,,104.880217633675,,608.100484905561,125.425000076612,,382.74396480243,198.732569745411,,468.781081635443,1774.4001980507,124.668973286881,1006.43444609497,,,,41.0838793802528,,,,,332.081155349151,,332.305003111975,150.748970879357,485.533858206574,,,,,,76.4803984686038,632.716104447702,110.874643897598,110.874643897598,,675.241639141208,120.714347980615,268.718051234634,,,173.387341521049,157.589644526496,157.589644526496,157.561904896744,139.223403930664,419.649854652524,2941.04889945204,2501.29318996377,257.578160165979,,,125.938694169401,,99.9378893887589,,788.69664704446,,369.583468629906,,,,76.3114862201157,,,1748.2881176141,3573.94118474743,226.875185052943,741.244997985711,,,864.471221072137,,,,562.186363716034,,242.384472510792,281.558896044141
5,1965,101.108325163758,199.517227525137,138.524029037349,,249.883585607009,,,,,,1279.11377847858,,,2281.09879668523,1374.53213986075,,2144.73908940986,,106.646644385365,,,1835.59476553194,377.590746983887,110.132584644972,2282.21654621089,,149.640333206756,,81.7699943344463,269.456289972728,,1113.78304185271,,81.7250523247925,51.3818812578693,,134.304279643423,141.00251500175,2770.36180408145,580.944135963777,,91.8303746529954,,125.975478771675,,670.395685818079,98.4867777522206,307.646860038546,,232.811127800512,171.646141568627,372.280578054054,217.60244145006,,,,,,,,,229.023500116562,195.244644848765,198.619646760165,98.6068387432323,97.4839907947274,455.19781834632,162.608472309905,274.175259503141,234.344085087491,,,187.948370470312,,1468.53626462288,,,,,,317.020325095875,1882.08685764849,,2038.16310215841,1889.24239879307,424.620442939701,,,,265.292474234376,,899.281238912995,,,,278.828138481721,,,327.115728130283,82.9476083737561,133.666942808376,1882.04517805023,216.815394681597,676.805507110096,,202.449482744131,188.960952960151,127.184058832507,121.067328788284,120.581238790339,2723.52094989073,119.318916257524,,248.341152277938,,1023.77372640936,,1429.31460528027,1304.45381661965,553.450685786148,928.518848597045,511.102970798115,,104.711673869592,,,108.722131222718,,4443.45233840779,,,205.230264279596,473.648156321421,433.433282792527,463.690982740351,,,,59.501773728218,,,,,181.315574251899,,119.035808565605,2780.09271886584,,144.4847301012,55.4982244111406,310.327925803759,,,,,258.990479566482,,494.97026133002,,,212.006962243325,213.916359797986,185.774987722907,,,,,206.449020385742,,16.5964592649938,,,67.0074709698086,1708.09635648862,1763.47505309857,2151.29492695315,273.906702957796,172.039678987395,117.188634827652,3729.969703607,,,2164.46882336736,,1810.72427483387,101.259179130027,,,116.44672466593,,648.436082115863,138.470632821301,204.200830354844,441.182111952402,210.847796523783,,520.910659367884,1906.58591542747,137.161350140586,1110.83269082498,,,,45.9892827648958,,,,,328.563169209696,,328.484900958875,143.280492367138,516.53530333901,,,,,,79.4288131599353,674.186432607333,116.484498536897,116.484498536897,,774.761609330096,152.852675452191,276.248904103999,,,175.658447739245,171.159624670163,171.159624670163,171.136233268296,141.081924438477,468.627921894333,3206.09917020339,2620.475547353,247.498330036062,,,137.91864667231,,109.620120649437,,807.869838096908,217.911274365173,386.358060636648,,,,110.802288985464,,,1873.56777435421,3827.52710972039,247.66842413712,701.704718154626,,,869.535022537809,,,,600.107958930595,,303.281740494698,293.308787974892
6,1966,137.594297961115,211.054388352747,144.323881800467,,235.598130082129,,,,,,1272.80320400797,,,2343.99529013149,1486.96860600566,,2322.70581564547,,112.665364752713,,,1957.62608042762,406.094253261097,112.940836383512,2630.85046638536,,162.326054493388,,89.9795529147183,330.040585940268,,1237.5635792503,,82.545684006557,52.1825516980849,,138.842975493477,144.015365257037,3047.10614707958,621.434727092225,,94.398235690021,,128.342693975476,,772.725716153161,104.324566181147,281.566048500385,,253.759208730228,185.892255165503,393.480684289771,233.614905479198,,,,,,2487.13618090884,,,245.987545364814,188.1730197426,216.242866356116,104.872883062378,103.682356645043,449.920206994069,168.963240415533,282.189733068525,243.76909130671,,,200.246112320211,,1589.04233257536,1037.30743705678,,,,,316.129810339344,2010.21345619725,,2186.4745917492,2229.75272011825,452.662826587803,106.413224524113,,,267.716725170249,,997.430467475556,,,,283.192724592174,,,344.168077242364,84.9852521983496,141.920719259313,2042.30669842524,227.740956309102,685.926614135084,,204.178961841457,191.735983733304,134.840476340645,127.833183851715,127.503813539354,3215.69417804329,89.9973043744548,,264.97962767298,,1074.50650554958,,1513.88360593382,1402.44235441032,615.964343736665,1068.55843990563,519.373519293308,,118.207910365875,,,133.474848530354,,4571.15574209751,,,223.177696646945,508.000196593498,466.569304984814,497.097228142153,,,,60.2027887324878,,,,,183.546715387134,,106.697603739706,2900.43321843978,,152.107897232538,61.4076384008598,321.094160452081,,,,,262.31226782651,,534.273631491705,,,215.099871205032,217.037124414742,187.586672265207,,,,,196.314453125,,12.8028124617684,,,81.164422366702,1835.80142351034,1756.21963938348,2191.31254193959,284.558690002172,174.35491295026,124.307792527789,4044.24721525733,,,2317.19488382656,,1963.16014726374,105.556687350545,,,125.546992015402,,686.069400752079,153.945682703236,208.850135309286,507.530953196241,225.614436516631,,575.007680668221,2069.91048500928,147.004392987245,1207.81182440348,,,,37.488839319314,,,,,329.053313391297,,337.646246557856,147.15582102386,566.807677554886,,,,,,81.8711142362567,714.562009747111,95.7995482239185,95.7995482239185,,889.659872011529,153.898791347895,299.250856852942,,,185.25395922597,180.113634048219,180.113634048219,180.090682723526,140.685775756836,562.907542399196,3454.42978938679,2784.73354771646,237.915673950358,,,161.005521595517,,121.834175439114,,787.338406706973,224.2950877888,444.549482834463,,,,112.032153717601,,,1986.74715869685,4146.31664631665,266.908669534891,664.439841081964,,,876.153926382849,,,,637.822013477421,,343.373669975069,277.234531745448
7,1967,160.898434161304,213.636598692174,128.57895699243,,253.923765521058,,,,,,1062.54341227446,,,2580.27109571187,1569.66718289967,,2556.63426678748,,122.870628479594,,,2086.63600544654,420.375933569588,111.951560996903,2982.7497043718,,179.583038401343,,100.405143511268,353.110710623409,,1236.41966434465,,84.3630702039477,54.8064431207722,,144.011778454244,154.677890714907,3217.15929360795,658.350898363333,,95.8964839249802,,130.960782771673,,753.127957880928,96.5895319417819,293.644264112561,,184.130439160172,194.660335629893,412.235106379122,238.310487673876,,,,,,2700.74628964677,,,250.976207222721,192.998656728393,228.678132735837,99.1586749318657,98.0313093378407,459.278798776653,174.862609761112,288.18699031465,247.844128685815,,,189.377102112431,,1714.40285262691,1106.90402544485,,,,,333.268205133243,2034.18904965478,,2343.10450260677,2210.06468054285,490.103275638655,109.453715832487,,,214.785239417328,,1068.11455622703,,,,287.968047136813,,,370.159649082038,83.4119039580884,135.504680411042,2168.88469897282,240.546842888042,723.239225616661,,204.968004309476,191.88655585311,132.058816149216,125.681551498849,125.183022158736,3125.64949185014,96.3391364648698,53.5372956830802,287.082908911452,,1152.00495214994,,1468.12386156648,1533.69287748547,636.616274915676,1239.31837741267,458.127702201447,,120.987590553352,,,161.159931018546,,4230.84777838406,,,219.26772267986,505.14485899755,462.437078541665,492.736519494977,,,,61.5838179817956,,,,,183.711519273468,118.948982747155,111.383757425383,2909.66062936858,,157.476309267978,62.0199280812902,317.424210471086,,48.2799172933263,,,269.839802033466,,565.633408898776,,,226.619193224917,228.660192863817,188.187000300171,,,,,202.857269287109,,12.9154560059164,,,73.9679007589551,1991.36068565042,1865.66598414879,2188.39913862561,299.080935453274,160.59183086191,99.4060787604039,4231.86735083108,,,2514.04377214705,,2082.74646071102,162.323830840634,,,139.11847507259,,742.114068921184,170.095312754953,215.06689731766,500.87348622826,235.342462691996,,646.82272006084,2200.75574527432,135.388044362484,1335.27411162524,,,,46.6427425321487,,,,,319.639351686344,,333.233812466557,134.317456729551,626.033527685697,,,,,173.435848254969,84.1989645808447,775.297686767805,103.062636613917,103.062636613917,,968.306781765983,159.50599139416,353.303331053988,,,180.398249386679,174.551567867845,174.551567867846,174.528083624499,147.997680664063,634.791887779609,3720.92684527721,2960.72258588384,251.488023772549,,,166.923063418933,,124.878857131216,,823.55630854429,229.028231406027,481.693679863493,,,,113.16921774162,,,2058.78188198056,4336.42658722171,262.319267991769,580.970258805948,,,892.879464843764,,,,665.055205724996,,360.201238744699,292.270532917
8,1968,129.108310965006,226.62132027216,129.641092532328,,281.925786291132,,,,,304.160518327977,1141.08043153979,,,2724.37251931884,1677.67352804272,,2804.33387615547,,122.847597531085,,,2222.36151051913,386.939901268415,116.895149769939,2830.18867924528,,199.629567437341,,110.97864233084,375.390573527233,,1364.0659775422,,84.7329371553071,54.9007620777181,,157.190139348431,168.702148776461,3462.67887195794,645.928307266477,,109.945910359308,,129.731950793662,,756.912000888148,91.4727183066072,292.257496192437,,206.714951094744,200.395017879954,442.779608706134,271.853345495868,,,,,,2776.13539044344,,,254.05179775019,204.061481284073,245.94584697572,97.7998724209645,96.6847728156651,450.999551509643,180.410853702955,290.025602994465,225.48656622988,,,196.30217371348,,1828.29517811043,1147.8091816648,,,,,334.612576030587,1907.07727217667,138.531898838733,2536.08511406552,2512.26736221735,520.48042118474,93.8476904866439,,,200.307093967715,,1154.43853055613,,,,310.661745203358,,,334.842248857383,81.5929536736684,139.729769459183,2328.60768505514,252.584914494852,714.48296958061,,211.524533377881,197.862853202696,135.791110980665,128.917676654114,128.517187802506,2354.48002671305,99.8759627217279,65.0530438426072,318.991906649889,312.822108523487,1124.51663608246,,1647.87727434891,1651.93937679756,593.624723808399,1451.33770268101,374.082997691657,,128.397262018686,,,198.431298008386,,4207.73153626485,,,218.104269477979,528.601010982916,484.782046607311,514.70713676483,,,,62.4639961294217,,,,,189.422915785615,122.714349981361,117.221829590711,3175.36736882691,,165.478375439831,54.9162987304466,323.402486662985,,59.4675187691463,,,288.441801733991,,606.211132724704,,339.055746656558,242.639549815539,244.824833535373,194.042146265525,,,,,212.750854492188,,20.4182770493087,,,66.548940087185,2185.24865888657,2165.90112919859,1885.15615175625,307.291756918733,150.381212302976,97.2017426929705,4579.98225992377,,,2662.11749153117,,2233.62116419899,277.909232022648,,,145.945672707028,,775.63930810859,182.62224267097,220.096547957203,450.4014674536,255.443036382624,,719.08049185329,2365.24812958588,139.142733826615,1480.69317642251,,,,48.7840997847211,,,,777.267272584564,326.195796521574,,314.351064841473,124.75745824962,708.606066462846,,,,,187.369503414404,86.5503216195445,817.719079007284,105.614406259748,105.614406259748,,950.545740593734,150.896619214816,314.661953921421,,,173.127460158127,182.179906348793,182.179906348794,182.162349623226,150.022537231445,676.901761599322,3926.40900146965,3121.8890308772,263.197929415226,,,174.784753754061,,124.349763954504,,815.327108526932,250.693810944945,526.213474583062,,,,117.384550849507,,,1951.75859587532,4695.92339043178,267.352038481838,574.346882547604,,,937.598671203311,,,,703.361656612255,,409.775349349798,299.398935753671
