Date,GDP,CPI,Unemployement Index,Interest
1954-07-01,390.996,26.9,5.8,1.13
1954-10-01,399.734,26.8,5.7,0.5
1955-01-01,413.073,26.7,4.9,1.44
1955-04-01,421.532,26.7,4.7,1.44
1955-07-01,430.221,26.8,4.0,1.69
1955-10-01,437.092,26.9,4.3,2.19
1956-01-01,439.746,26.8,4.0,2.5
1956-04-01,446.01,26.9,4.0,2.5
1956-07-01,451.191,27.4,4.4,2.75
1956-10-01,460.463,27.5,3.9,3.0
1957-01-01,469.779,27.6,4.2,3.0
1957-04-01,472.025,27.9,3.9,3.0
1957-07-01,479.49,28.3,4.2,3.0
1957-10-01,474.864,28.3,4.5,3.5
1958-01-01,467.54,28.6,5.8,3.0
1958-04-01,471.978,28.9,7.4,0.25
1958-07-01,485.841,29.0,7.5,0.25
1958-10-01,499.555,28.9,6.7,1.0
1959-01-01,510.33,29.0,6.0,2.38
1959-04-01,522.653,29.0,5.2,2.25
1959-07-01,525.034,29.2,5.1,2.75
1959-10-01,528.6,29.4,5.7,4.0
1960-01-01,542.648,29.3,5.2,4.0
1960-04-01,541.08,29.5,5.2,4.0
1960-07-01,545.604,29.6,5.5,3.25
1960-10-01,540.197,29.8,6.1,3.0
1961-01-01,545.018,29.8,6.6,3.0
1961-04-01,555.545,29.8,7.0,2.0
1961-07-01,567.664,30.0,7.0,0.5
1961-10-01,580.612,30.0,6.5,1.5
1962-01-01,594.013,30.0,5.8,2.5
1962-04-01,600.366,30.2,5.6,2.75
1962-07-01,609.027,30.3,5.4,2.75
1962-10-01,612.28,30.4,5.4,3.0
1963-01-01,621.672,30.4,5.7,3.0
1963-04-01,629.752,30.5,5.7,3.0
1963-07-01,644.444,30.7,5.6,3.0
1963-10-01,653.938,30.8,5.5,3.5
1964-01-01,669.822,30.9,5.6,3.25
1964-04-01,678.674,30.9,5.3,3.5
1964-07-01,692.031,31.1,4.9,3.5
1964-10-01,697.319,31.1,5.1,3.5
1965-01-01,717.79,31.2,4.9,4.0
1965-04-01,730.191,31.4,4.8,4.13
1965-07-01,749.323,31.6,4.4,4.13
1965-10-01,771.857,31.7,4.2,4.13
1966-01-01,795.734,31.8,4.0,4.63
1966-04-01,804.981,32.3,3.8,4.75
1966-07-01,819.638,32.5,3.8,5.5
1966-10-01,833.302,32.9,3.7,5.75
1967-01-01,844.17,32.9,3.9,5.0
1967-04-01,848.983,33.1,3.8,4.5
1967-07-01,865.233,33.4,3.8,3.5
1967-10-01,881.439,33.7,4.0,3.75
1968-01-01,909.387,34.1,3.7,4.5
1968-04-01,934.344,34.4,3.5,5.5
1968-07-01,950.825,34.9,3.7,6.13
1968-10-01,968.03,35.3,3.4,6.0
1969-01-01,993.337,35.6,3.4,4.0
1969-04-01,1009.02,36.3,3.4,6.63
1969-07-01,1029.956,36.8,3.5,8.75
1969-10-01,1038.147,37.3,3.7,8.0
